id,date
1,11/24/2004
2,3/22/2005
3,6/2/2005
4,6/14/2005
5,7/1/2005
6,8/31/2005
7,9/1/2005
8,10/1/2005
9,11/14/2005
10,12/9/2005
11,2/14/2006
12,4/6/2006
13,5/26/2006
14,6/14/2006
15,7/7/2006
16,8/3/2006
17,9/14/2006
18,10/25/2006
19,11/20/2006
20,12/21/2006
21,1/23/2007
22,1/30/2007
23,2/25/2007
24,3/16/2007
25,4/13/2007
26,5/24/2007
27,6/16/2007
28,7/23/2007
29,8/13/2007
30,9/6/2007
31,10/19/2007
32,11/12/2007
33,12/11/2007
34,1/1/2008
35,2/6/2008
36,3/1/2008
37,4/1/2008
38,6/17/2008
39,7/3/2008
40,9/18/2008
41,10/8/2008
42,11/19/2008
43,12/18/2008
44,1/20/2009
45,2/13/2009
46,3/20/2009
47,4/10/2009
48,7/20/2009
49,8/10/2009
50,9/15/2009
51,10/19/2009
52,11/6/2009
53,12/17/2009
54,2/16/2010
55,3/14/2010
56,4/14/2010
57,5/5/2010
58,6/19/2010
59,7/1/2010
60,8/24/2010
61,9/1/2010
62,10/19/2010
63,11/6/2010
64,12/27/2010
65,1/18/2011
66,2/22/2011
67,3/11/2011
68,4/26/2011
69,5/16/2011
70,7/14/2011
71,9/19/2011
72,11/16/2011
73,3/28/2012
74,4/19/2012
75,5/4/2012
76,7/19/2012
77,8/10/2012
78,9/16/2012
79,10/21/2012
80,11/15/2012
81,12/3/2012
82,1/15/2013
83,3/24/2013
84,4/17/2013
85,5/13/2013
86,6/7/2013
87,7/3/2013
88,8/23/2013
89,9/22/2013
90,10/23/2013
91,11/14/2013
92,12/6/2013
93,2/4/2014
94,4/15/2014
95,7/3/2014
96,8/5/2014
97,9/19/2014
98,10/28/2014
99,11/5/2014
100,12/19/2014
101,2/6/2015
102,3/1/2015
103,4/10/2015
104,5/18/2015
105,6/29/2015
106,8/20/2015
107,9/19/2015
108,10/22/2016
109,12/13/2016
110,2/16/2017
111,3/24/2017
